id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
WDBVXC0040HWT_1639,"WD My Cloud Home 4TB","WD My Cloud Home 4TB",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk20.jpg,http://shopacg.bmic.edu.vn/san-pham/wd-my-cloud-home-4tb/,"Ổ CỨNG GẮN NGOÀI","Shop Linh Kiện Máy Tính",5299000VND,in stock,WDBVXC0040HWT_1639,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1639,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5299000VND,new,published,,
WDBPKJ0050BBK_1637,"WD My Passport 5TB Black 2.5inch USB 3.2","WD My Passport 5TB Black 2.5inch USB 3.2",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk19.jpg,http://shopacg.bmic.edu.vn/san-pham/wd-my-passport-5tb-black-2-5inch-usb-3-2/,"Ổ CỨNG GẮN NGOÀI","Shop Linh Kiện Máy Tính",5849000VND,in stock,WDBPKJ0050BBK_1637,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1637,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5849000VND,new,published,,
WDE_1635,"WD Element 3TB-2.5'- USB3.0","WD Element 3TB-2.5'- USB3.0",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk18.jpg,http://shopacg.bmic.edu.vn/san-pham/wd-element-3tb-2-5-usb3-0/,"Ổ CỨNG GẮN NGOÀI","Shop Linh Kiện Máy Tính",3289000VND,in stock,WDE_1635,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1635,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3289000VND,new,published,,
W5P-U3-30_1633,"Bộ chia USB 3.0 Orico W5P-U3-30","Bộ chia USB 3.0 Orico W5P-U3-30",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk17.jpg,http://shopacg.bmic.edu.vn/san-pham/bo-chia-usb-3-0-orico-w5p-u3-30/,"ĐẦU CHUYỂN ĐỔI","Shop Linh Kiện Máy Tính",195000VND,in stock,W5P-U3-30_1633,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1633,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,195000VND,new,published,,
HDMI-10M-CC_1631,"Dây HDMI Cable loại 10.0M (Chống chuột, vỏ bọc loại 1)","Dây HDMI Cable loại 10.0M (Chống chuột, vỏ bọc loại 1)",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk16.jpg,http://shopacg.bmic.edu.vn/san-pham/day-hdmi-cable-loai-10-0m-chong-chuot-vo-boc-loai-1/,"DÂY CÁP CÁC LOẠI","Shop Linh Kiện Máy Tính",570000VND,in stock,HDMI-10M-CC_1631,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1631,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,570000VND,new,published,,
wc_post_id_1629,"Asus Zenbook UX434FAC-A6064T/ i5-10210U/ 8GD/ SSD 512GB/ 14.0'/ W110/ Blue","THÔNG SỐ KỸ THUẬT 
 
 
 
Hãng sản xuất                                                 HP 
 
 
Tên sản phẩm                                                 Zenbook 14 UX434FAC-A6064T 
 
 
Bộ vi xử lý 
 
 
Bộ vi xử lý 
Intel Core i5-10210U 
 
 
Tốc độ 
(1.60GHz upto 4.20GHz, 4Cores 8Threads, 6MB) 
 
 
Bộ nhớ đệm 
6MB Cache 
 
 
Bộ nhớ trong (RAM) 
 
 
Dung lượng 
8GB 
 
 
Ổ cứng 
 
 
Dung lượng 
512GB SSD 
 
 
Hiển thị 
 
 
Màn hình 
14.0' FHD 
 
 
Độ phân giải 
1920 x 1080 
 
 
Đồ Họa (VGA) 
 
 
Card màn hình 
Intel UHD Graphics 620 
 
 
Kết nối (Network) 
 
 
Wireless 
Wi-Fi 6(Gig+)(802.11ax) 
 
 
LAN 
 
 
 
Bluetooth 
Bluetooth 5.0 (Dual band) 2*5 
 
 
Bàn phím , Chuột 
 
 
Kiểu bàn phím` 
Bàn phím tiêu chuẩn- Đèn nền bàn phím 
 
 
Chuột 
Cảm ứng đa điểm 
 
 
Giao tiếp mở rộng 
 
 
Kết nối USB 
1x USB 2.0 
 
 
1x USB3.1 Type A (Gen2) 
 
 
1x USB3.1 Type C (Gen 1) 
 
 
Kết nối HDMI/VGA 
1x HDMI 
 
 
Tai nghe 
1x Headphone-out & Audio-in Combo Jack 
 
 
Camera 
HD Camera with integrated digital microphone 
 
 
Card mở rộng 
1x Micro SD 
 
 
LOA 
2 Loa 
 
 
Kiểu Pin 
3-cell, 50WHrs 
 
 
Sạc pin 
Đi kèm 
 
 
Hệ điều hành (bản quyền) đi kèm 
Windows 10 64bit 
 
 
Kích thước (Dài x Rộng x Cao) 
31.9(W) x 19.9(D) x 1.75 ~ 1.82 (H) cm 
 
 
Trọng Lượng 
1.35 kg 
 
 
Màu sắc 
Royal Blue",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/asus_2.jpg,http://shopacg.bmic.edu.vn/san-pham/asus-zenbook-ux434fac-a6064t-i5-10210u-8gd-ssd-512gb-14-0-w110-blue/,"ASUS","Shop Linh Kiện Máy Tính",22990000VND,in stock,wc_post_id_1629,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1629,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22990000VND,new,published,,
USB 3.0 ADAPTER INTERNAL_1627,"USB 3.0 Bracket Adapter - Đầu chuyển tiện dụng USB 3.0","USB 3.0 Bracket Adapter - Đầu chuyển tiện dụng USB 3.0",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk15.jpg,http://shopacg.bmic.edu.vn/san-pham/usb-3-0-bracket-adapter-dau-chuyen-tien-dung-usb-3-0/,"ĐẦU CHUYỂN ĐỔI, LINH KIỆN KHÁC","Shop Linh Kiện Máy Tính",370000VND,in stock,USB 3.0 ADAPTER INTERNAL_1627,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1627,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,370000VND,new,published,,
wc_post_id_1612,"Asus Zenbook UX481FL-BM048T/ i5-10210U/ 8GD/ 512G- SSF/ 14.0/ VGA 2GD5/ W10","THÔNG SỐ KỸ THUẬT 
 
 
 
Hãng sản xuất                                        Asus 
 
 
Tên sản phẩm                                        Zenbook Duo UX481FL-BM048T 
 
 
Bộ vi xử lý 
 
 
Bộ vi xử lý 
Intel Core i5-10210U 
 
 
Tốc độ 
1.6 Upto 4.2GHz, 4 nhân 8 luồng 
 
 
Bộ nhớ đệm 
6MB Cache 
 
 
Bộ nhớ trong 
 
 
Dung lượng 
8GB 
 
 
Ổ cứng 
 
 
Dung lượng 
512GB PCIe SSD 
 
 
Hiển thị 
 
 
Màn hình 
14.0Inch Full HD 
 
 
Độ phân giải 
1920x1080 
 
 
Đồ Họa (VGA) 
 
 
Card màn hình 
NVIDIA® GeForce® MX250 2GB GDDR5 
 
 
Kết nối (Network) 
 
 
Wireless 
Intel Wi-Fi 6 với hiệu năng Gig+ (802.11ax) 
 
 
Lan 
 
 
 
Bluetooth 
Bluetooth v5.0 
 
 
Bàn phím , Chuột 
 
 
Kiểu bàn phím 
Bàn phím tiêu chuẩn 
 
 
Chuột 
Cảm ứng đa điểm 
 
 
Giao tiếp mở rộng 
 
 
Kết nối USB 
1 x USB 3.1 thế hệ 2 Type-C™ (lên đến 10Gbps) 
 
 
1 x USB 3.1 thế hệ 2 Type-A (lên đến 10Gbps) 
 
 
1 x USB 3.1 thế hệ 1 Type-A (lên đến 5Gbps) 
 
 
Kết nối HDMI/VGA 
1xHDMI 
 
 
Khe cắm thẻ nhớ 
Có 
 
 
Tai nghe 
1 x Giắc cắm âm thanh combo 
 
 
Camera 
HD camera 
 
 
Dung lượng pin 
4-cell 70Whr 
 
 
Sạc pin 
Đi kèm 
 
 
Hệ điều hành đi kèm 
Windows 10 SL 
 
 
Trọng Lượng 
1.5kg 
 
 
Màu sắc 
Celestial Blue",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/asus_1.jpg,http://shopacg.bmic.edu.vn/san-pham/asus-zenbook-ux481fl-bm048t-i5-10210u-8gd-512g-ssf-14-0-vga-2gd5-w10/,"ASUS","Shop Linh Kiện Máy Tính",29390000VND,in stock,wc_post_id_1612,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1612,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,29390000VND,new,published,,
VGA_1617,"Dây Cable VGA Sang VGA loại 1.5M(Loại xịn)","Dây Cable VGA Sang VGA loại 1.5M(Loại xịn)",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk14.jpg,http://shopacg.bmic.edu.vn/san-pham/day-cable-vga-sang-vga-loai-1-5mloai-xin/,"DÂY CÁP CÁC LOẠI, LINH KIỆN KHÁC","Shop Linh Kiện Máy Tính",50000VND,in stock,VGA_1617,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1617,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50000VND,new,published,,
CAP334_1615,"Cáp HDMI Unitek 2.0M","Cáp HDMI Unitek 2.0M",http://shopacg.bmic.edu.vn/wp-content/uploads/2020/04/mk13.jpg,http://shopacg.bmic.edu.vn/san-pham/cap-hdmi-unitek-2-0m/,"DÂY CÁP CÁC LOẠI, LINH KIỆN KHÁC","Shop Linh Kiện Máy Tính",99000VND,in stock,CAP334_1615,http://shopacg.bmic.edu.vn/gio-hang/?add-to-cart=1615,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,99000VND,new,published,,
